iter	Passed	Remaining
0	15	15839
1	23	11940
2	33	10969
3	37	9457
4	42	8450
5	47	7813
6	50	7164
7	55	6851
8	58	6470
9	62	6142
10	65	5932
11	77	6377
12	82	6229
13	86	6084
14	89	5886
15	92	5666
16	101	5875
17	106	5826
18	113	5845
19	116	5716
20	119	5549
21	124	5538
22	130	5548
23	136	5567
24	142	5571
25	150	5652
26	158	5699
27	167	5814
28	175	5878
29	181	5856
30	191	5981
31	196	5929
32	200	5885
33	205	5825
34	209	5785
35	214	5755
36	224	5845
37	226	5743
38	236	5837
39	242	5821
40	248	5801
41	248	5677
42	253	5642
43	260	5657
44	264	5604
45	269	5597
46	272	5529
47	278	5521
48	284	5518
49	287	5471
50	293	5459
51	296	5404
52	299	5356
53	302	5301
54	308	5307
55	313	5282
56	318	5262
57	319	5190
58	323	5164
59	330	5174
60	333	5126
61	335	5079
62	339	5046
63	342	5012
64	347	4994
65	355	5032
66	360	5018
67	367	5042
68	375	5061
69	378	5028
70	383	5012
71	387	4993
72	392	4978
73	396	4961
74	400	4935
75	405	4934
76	407	4883
77	411	4859
78	412	4804
79	416	4788
80	419	4757
81	423	4735
82	430	4761
83	434	4736
84	435	4691
85	439	4668
86	442	4646
87	448	4645
88	453	4638
89	454	4595
90	459	4593
91	464	4580
92	469	4575
93	471	4544
94	481	4586
95	485	4575
96	487	4538
97	492	4535
98	497	4527
99	505	4545
100	506	4510
101	510	4491
102	511	4456
103	514	4431
104	517	4408
105	520	4389
106	523	4371
107	528	4363
108	531	4344
109	536	4342
110	542	4344
111	549	4360
112	552	4335
113	557	4336
114	559	4305
115	563	4294
116	565	4264
117	567	4240
118	569	4214
119	571	4192
120	575	4182
121	580	4181
122	587	4187
123	608	4301
124	616	4314
125	621	4310
126	624	4293
127	628	4282
128	636	4298
129	639	4279
130	641	4252
131	644	4235
132	647	4222
133	650	4206
134	652	4181
135	655	4163
136	658	4145
137	661	4131
138	664	4116
139	666	4092
140	670	4085
141	672	4062
142	674	4043
143	676	4023
144	682	4026
145	686	4012
146	690	4004
147	693	3991
148	697	3985
149	700	3968
150	705	3964
151	709	3957
152	712	3946
153	718	3945
154	721	3933
155	723	3914
156	725	3894
157	729	3885
158	733	3877
159	735	3861
160	736	3839
161	742	3839
162	743	3818
163	751	3830
164	753	3812
165	756	3799
166	760	3790
167	765	3789
168	767	3773
169	774	3783
170	778	3772
171	783	3771
172	791	3781
173	802	3808
174	807	3807
175	809	3789
176	818	3803
177	820	3789
178	823	3779
179	829	3777
180	835	3779
181	839	3774
182	842	3760
183	845	3750
184	851	3749
185	855	3743
186	861	3746
187	863	3731
188	869	3732
189	873	3724
190	879	3724
191	883	3716
192	897	3750
193	900	3742
194	903	3731
195	907	3723
196	911	3715
197	915	3708
198	920	3704
199	922	3689
200	925	3677
201	928	3667
202	929	3650
203	932	3638
204	936	3633
205	939	3622
206	941	3608
207	944	3596
208	947	3586
209	952	3581
210	953	3567
211	955	3552
212	958	3540
213	960	3527
214	964	3522
215	968	3515
216	973	3513
217	978	3511
218	984	3509
219	990	3510
220	992	3499
221	995	3489
222	1008	3513
223	1010	3499
224	1011	3484
225	1013	3471
226	1015	3458
227	1017	3443
228	1019	3432
229	1021	3419
230	1023	3406
231	1025	3393
232	1026	3379
233	1028	3366
234	1030	3353
235	1032	3341
236	1034	3329
237	1036	3317
238	1037	3304
239	1040	3295
240	1042	3283
241	1044	3270
242	1045	3258
243	1047	3246
244	1049	3233
245	1051	3223
246	1053	3211
247	1055	3200
248	1057	3189
249	1059	3177
250	1061	3166
251	1062	3154
252	1064	3143
253	1066	3133
254	1074	3140
255	1076	3128
256	1081	3127
257	1088	3131
258	1091	3121
259	1093	3112
260	1095	3102
261	1097	3091
262	1102	3089
263	1121	3125
264	1123	3115
265	1132	3126
266	1150	3157
267	1160	3170
268	1162	3159
269	1165	3149
270	1175	3162
271	1190	3185
272	1208	3218
273	1212	3212
274	1216	3207
275	1223	3209
276	1229	3208
277	1235	3208
278	1237	3198
279	1241	3191
280	1247	3191
281	1253	3192
282	1256	3182
283	1260	3178
284	1262	3168
285	1271	3175
286	1277	3174
287	1287	3182
288	1298	3195
289	1306	3199
290	1310	3192
291	1320	3202
292	1322	3191
293	1324	3180
294	1327	3172
295	1329	3161
296	1332	3153
297	1335	3145
298	1342	3146
299	1347	3143
300	1348	3132
301	1351	3123
302	1357	3121
303	1359	3111
304	1361	3101
305	1364	3094
306	1372	3098
307	1374	3088
308	1376	3078
309	1380	3071
310	1382	3063
311	1386	3056
312	1391	3053
313	1393	3044
314	1395	3034
315	1400	3031
316	1403	3024
317	1405	3015
318	1409	3009
319	1415	3008
320	1418	2999
321	1421	2992
322	1424	2984
323	1425	2975
324	1430	2970
325	1433	2962
326	1436	2955
327	1441	2953
328	1444	2945
329	1448	2939
330	1449	2930
331	1455	2929
332	1462	2929
333	1466	2924
334	1469	2917
335	1472	2910
336	1482	2917
337	1487	2914
338	1489	2904
339	1491	2895
340	1493	2886
341	1495	2878
342	1498	2869
343	1505	2870
344	1509	2865
345	1513	2861
346	1517	2855
347	1524	2855
348	1529	2853
349	1532	2846
350	1534	2837
351	1536	2828
352	1541	2825
353	1543	2816
354	1550	2816
355	1556	2816
356	1562	2814
357	1565	2808
358	1569	2802
359	1578	2805
360	1585	2807
361	1589	2800
362	1597	2802
363	1600	2796
364	1607	2796
365	1618	2803
366	1621	2797
367	1625	2791
368	1631	2790
369	1636	2787
370	1643	2785
371	1648	2782
372	1658	2787
373	1664	2785
374	1669	2783
375	1673	2776
376	1678	2773
377	1686	2774
378	1693	2774
379	1699	2772
380	1704	2768
381	1709	2765
382	1712	2759
383	1727	2771
384	1737	2775
385	1750	2784
386	1756	2782
387	1762	2779
388	1764	2772
389	1767	2764
390	1769	2756
391	1771	2748
392	1773	2739
393	1776	2731
394	1777	2723
395	1850	2823
396	1853	2815
397	1943	2939
398	1948	2935
399	1954	2931
400	1956	2922
401	1957	2912
402	1959	2903
403	1961	2893
404	1976	2903
405	1979	2896
406	1981	2887
407	1990	2887
408	1992	2878
409	1995	2870
410	2000	2866
411	2002	2857
412	2005	2850
413	2008	2842
414	2014	2840
415	2018	2834
416	2022	2827
417	2024	2819
418	2027	2810
419	2029	2802
420	2046	2814
421	2060	2822
422	2074	2830
423	2076	2821
424	2100	2841
425	2115	2850
426	2117	2841
427	2125	2840
428	2127	2831
429	2129	2823
430	2131	2814
431	2133	2805
432	2136	2797
433	2138	2789
434	2141	2781
435	2143	2772
436	2145	2763
437	2147	2755
438	2149	2746
439	2151	2737
440	2156	2732
441	2157	2724
442	2159	2715
443	2173	2722
444	2175	2713
445	2180	2708
446	2192	2712
447	2198	2708
448	2224	2730
449	2247	2747
450	2269	2763
451	2271	2754
452	2273	2745
453	2275	2736
454	2293	2746
455	2312	2759
456	2319	2756
457	2334	2762
458	2370	2793
459	2375	2788
460	2396	2801
461	2406	2802
462	2409	2794
463	2411	2785
464	2419	2783
465	2427	2781
466	2452	2798
467	2454	2789
468	2463	2789
469	2473	2789
470	2495	2802
471	2510	2808
472	2526	2814
473	2540	2819
474	2545	2813
475	2563	2821
476	2572	2820
477	2580	2817
478	2585	2811
479	2591	2807
480	2605	2811
481	2623	2819
482	2633	2818
483	2639	2813
484	2642	2805
485	2670	2824
486	2699	2843
487	2711	2845
488	2717	2840
489	2723	2834
490	2725	2825
491	2727	2815
492	2728	2806
493	2731	2797
494	2733	2788
495	2735	2779
496	2737	2770
497	2739	2761
498	2742	2753
499	2743	2743
500	2745	2734
501	2747	2725
502	2749	2716
503	2750	2707
504	2753	2698
505	2754	2689
506	2759	2683
507	2766	2679
508	2775	2677
509	2777	2669
510	2779	2660
511	2782	2652
512	2785	2644
513	2790	2638
514	2794	2631
515	2797	2624
516	2802	2618
517	2806	2611
518	2811	2605
519	2816	2600
520	2818	2591
521	2825	2587
522	2828	2579
523	2831	2572
524	2833	2563
525	2835	2554
526	2837	2546
527	2838	2537
528	2841	2530
529	2844	2522
530	2846	2513
531	2847	2505
532	2850	2497
533	2854	2491
534	2859	2485
535	2863	2478
536	2866	2471
537	2871	2466
538	2877	2461
539	2879	2452
540	2881	2444
541	2883	2436
542	2886	2429
543	2889	2422
544	2900	2421
545	2914	2423
546	2928	2425
547	2932	2418
548	2935	2411
549	2937	2403
550	2939	2395
551	2943	2388
552	2945	2380
553	2950	2375
554	2955	2369
555	2960	2364
556	2964	2357
557	2967	2350
558	2972	2344
559	2976	2338
560	2978	2330
561	2982	2324
562	2987	2319
563	2989	2311
564	2993	2304
565	2995	2297
566	2998	2289
567	3000	2282
568	3004	2276
569	3006	2268
570	3012	2263
571	3017	2257
572	3021	2251
573	3024	2244
574	3028	2238
575	3032	2232
576	3036	2225
577	3047	2225
578	3054	2221
579	3065	2220
580	3073	2216
581	3083	2214
582	3086	2207
583	3094	2204
584	3096	2196
585	3099	2189
586	3106	2185
587	3113	2181
588	3121	2178
589	3129	2175
590	3132	2167
591	3134	2160
592	3137	2153
593	3145	2149
594	3149	2143
595	3156	2139
596	3159	2132
597	3162	2126
598	3164	2118
599	3167	2111
600	3172	2106
601	3178	2101
602	3192	2101
603	3195	2094
604	3200	2089
605	3202	2082
606	3205	2075
607	3210	2069
608	3212	2062
609	3216	2056
610	3219	2049
611	3224	2044
612	3231	2040
613	3238	2036
614	3242	2029
615	3245	2023
616	3247	2016
617	3251	2009
618	3255	2003
619	3261	1998
620	3263	1991
621	3267	1985
622	3269	1978
623	3272	1971
624	3273	1964
625	3277	1958
626	3280	1951
627	3284	1945
628	3288	1939
